first_name,known_name,second_name,web_name
David,,Raya Martín,Raya
Kepa,,Arrizabalaga Revuelta,Arrizabalaga
Karl,,Hein,Hein
Tommy,,Setford,Setford
Gabriel,Gabriel Magalhães,dos Santos Magalhães,Gabriel
William,,Saliba,Saliba
Riccardo,,Calafiori,Calafiori
Jurriën,,Timber,J.Timber
Jakub,,Kiwior,Kiwior
Myles,,Lewis-Skelly,Lewis-Skelly
Benjamin,,White,White
Brayden,,Clarke,Clarke
Maldini,,Kacurri,Kacurri
Josh,,Nichols,Nichols
Bukayo,,Saka,Saka
Martin,,Ødegaard,Ødegaard
Noni,,Madueke,Madueke
Gabriel,Gabriel Martinelli,Martinelli Silva,Martinelli
Leandro,,Trossard,Trossard
Declan,,Rice,Rice
Mikel,,Merino Zazón,Merino
Fábio,,Ferreira Vieira,Fábio Vieira
Christian,,Nørgaard,Nørgaard
Ethan,,Nwaneri,Nwaneri
Martín,,Zubimendi Ibáñez,Zubimendi
Ismeal,,Kabia,Kabia
Albert,,Sambi Lokonga,Sambi
Kai,,Havertz,Havertz
Gabriel,Gabriel Jesus,Fernando de Jesus,G.Jesus
Eberechi,,Eze,Eze
Cristhian,,Mosquera,Mosquera
Viktor,,Gyökeres,Gyökeres
Max,,Dowman,Dowman
Andre,,Harriman-Annous,Harriman-Annous
Piero,,Hincapié,Hincapie
Marli,,Salmon,Salmon
Emiliano,,Martínez Romero,Martinez
Marco,,Bizot,M.Bizot
Joe,,Gauci,Gauci
Filip,,Marschall,Marschall
Matty,,Cash,Cash
Lucas,,Digne,Digne
Ezri,,Konsa Ngoyo,Konsa
Ian,,Maatsen,Maatsen
Tyrone,,Mings,Mings
Pau,,Torres,Pau
Andrés,,García,A.García
Álex,,Moreno Lopera,Alex Moreno
Lamare,,Bogarde,Bogarde
Lino,,da Cruz Sousa,Sousa
Yasin,,Özcan,Yasin
Morgan,,Rogers,Rogers
Youri,,Tielemans,Tielemans
Leon,,Bailey,Bailey
Emiliano,,Buendía Stati,Buendía
Samuel,,Iling-Junior,Iling Jr
Donyell,,Malen,Malen
John,,McGinn,McGinn
Ross,,Barkley,Barkley
Enzo,,Barrenechea,Barrenechea
Lewis,,Dobbin,Dobbin
Boubacar,,Kamara,Kamara
Amadou,,Onana,Onana
Ben,,Broggio,Broggio
Leander,,Dendoncker,Dendoncker
Jamaldeen,,Jimoh-Aloba,Jimoh-Aloba
Kadan,,Young,Young
Ollie,,Watkins,Watkins
Zépiqueno,,Redmond,Redmond
Harvey,,Elliott,Elliott
Jadon,,Sancho,Sancho
James,,Wright,Wright
Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz
Triston,,Rowe,Rowe
Bradley,,Burrowes,Burrowes
Sam,,Proctor,Proctor
Travis,,Patterson,Patterson
Victor,,Lindelöf,Lindelöf
George,,Hemmings,George Hemmings
Ronnie,,Hollingshead,Hollingshead
Leon,,Routh,Leon Routh
TJ,,Carroll,Carroll
Alysson Edward Franco,Alysson Edward,da Rocha dos Santos,Alysson
Tammy,,Abraham,Abraham
Max,,Weiß,Weiss
Etienne,,Green,Green
Václav,,Hladký,Hladký
Connor,,Roberts,Roberts
Kyle,,Walker,Walker
Hannes,,Delcroix,Delcroix
Owen,,Dodgson,Dodgson
Hjalmar,,Ekdal,Ekdal
Maxime,,Estève,Estève
Quilindschy,,Hartman,Hartman
Bashir,,Humphreys,Humphreys
Jordan,,Beyer,Jordan
Lucas,Lucas Pires,Pires Silva,Lucas Pires
